time,open,high,low,close,volume
2023-02-02 13:10:00,106.365,106.59,106.25,106.52,552982
2023-02-02 13:05:00,106.46,106.4886,106.3,106.36,481349
2023-02-02 13:00:00,106.36,106.54,106.35,106.46,296816
2023-02-02 12:55:00,106.13,106.39,106.11,106.35,364716
2023-02-02 12:50:00,106.355,106.382,106.12,106.12,405452
2023-02-02 12:45:00,106.5,106.5,106.27,106.35,295015
2023-02-02 12:40:00,106.415,106.51,106.35,106.5,383117
2023-02-02 12:35:00,106.265,106.47,106.215,106.42,342986
2023-02-02 12:30:00,106.39,106.48,106.23,106.265,341386
2023-02-02 12:25:00,106.535,106.55,106.3007,106.385,489658
2023-02-02 12:20:00,106.67,106.79,106.415,106.535,557686
2023-02-02 12:15:00,106.38,106.675,106.3401,106.665,432946
2023-02-02 12:10:00,106.7,106.73,106.37,106.38,444795
2023-02-02 12:05:00,106.805,107.08,106.69,106.705,550659
2023-02-02 12:00:00,107.095,107.22,106.7522,106.81,452531
2023-02-02 11:55:00,106.85,107.1,106.835,107.095,485949
2023-02-02 11:50:00,106.72,106.88,106.64,106.845,416535
2023-02-02 11:45:00,106.76,106.9299,106.68,106.72,366535
2023-02-02 11:40:00,107.2,107.205,106.7417,106.76,478206
2023-02-02 11:35:00,107.12,107.28,107.08,107.2,396076
2023-02-02 11:30:00,107.185,107.3,107.08,107.13,487863
2023-02-02 11:25:00,106.79,107.22,106.78,107.185,486251
2023-02-02 11:20:00,107.16,107.18,105.8,106.7895,511936
2023-02-02 11:15:00,107.105,107.175,106.92,107.165,479805
2023-02-02 11:10:00,107.015,107.195,106.8,107.095,567282
2023-02-02 11:05:00,107.11,107.18,106.81,107.02,529034
2023-02-02 11:00:00,107.185,107.21,106.8301,107.115,661949
2023-02-02 10:55:00,107.19,107.25,107.03,107.195,562968
2023-02-02 10:50:00,107.2847,107.3282,107.04,107.17,569904
2023-02-02 10:45:00,107.185,107.55,107.0834,107.285,564284
2023-02-02 10:40:00,107.4,107.41,107.05,107.17,588958
2023-02-02 10:35:00,106.9,107.59,106.8675,107.41,1081681
2023-02-02 10:30:00,107.16,107.22,106.89,106.89,878263
2023-02-02 10:25:00,106.87,107.32,106.78,107.17,993124
2023-02-02 10:20:00,106.47,106.8885,106.22,106.875,975509
2023-02-02 10:15:00,106.42,106.55,106.18,106.4661,697984
2023-02-02 10:10:00,106.25,106.5499,106.12,106.43,911649
2023-02-02 10:05:00,106.33,106.57,106.09,106.255,989942
2023-02-02 10:00:00,106.645,106.68,106.3,106.33,827011
2023-02-02 09:55:00,106.59,106.805,105.98,106.66,1232425
2023-02-02 09:50:00,106.32,107.07,106.06,106.6,1635722
2023-02-02 09:45:00,106.41,106.59,106.1501,106.32,1854529
2023-02-02 09:40:00,106.33,106.49,105.62,106.39,1710896
2023-02-02 09:35:00,105.8,107.0,105.61,106.35,4565178
2023-02-02 09:30:00,105.41,105.97,105.41,105.85,257568
2023-02-02 09:25:00,105.5,105.5,105.35,105.4,145023
2023-02-02 09:20:00,105.55,105.6,105.36,105.5,103756
